aruandeaasta,annual_report_id,veehaardekood,veehaardenimetus,jaamakood,jaamanimi,markused,aastakokku,jaanuar,veebruar,marts,aprill,mai,juuni,juuli,august,september,oktoober,november,detsember
2023,54336,PIH0000135,SA Tähtvere Puhkepargi pinnaveevõtukoht,,,,2500,0,1000,0,0,0,0,10,10,10,0,470,1000
2023,54349,PIH0000014,Sõmeru maltoosatsehh,,,,3633,173,173,173,346,346,519,346,173,173,346,346,519
2023,54364,PIH0000116,Paemetsa,,,,727,0,0,0,0,112,338,185,92,0,0,0,0
2023,54368,PIH0000146,Vasula aed,,,,220,0,0,0,0,160,60,0,0,0,0,0,0
2023,54427,PIH0000168,Anne Soojus jahutusvee pinnaveehaare,,,,1705052,57179,59129,74488,97169,161086,281163,215978,273758,203044,87809,111241,83008
2023,54725,PIH0000070,tsemenditehas,,,,126194,11263,7889,6549,4524,10752,12271,13167,12338,13825,8685,9889,15042
2023,54938,PIH0000195,BLRT Grupp mereveehaare,,,,16002,0,0,0,1470,1470,1470,3864,3864,3864,0,0,0
2023,54977,PIH0000025,Horizon,,,,2214706,137880,154544,150609,127415,153960,131909,192233,215480,215788,198152,276500,260236
2023,55081,,,,,Aruande aastal pinnavett võetud ei ole. Piinaveehaare puudub.,,,,,,,,,,,,,
2023,55319,PIH0000103,Valgehobuse,,,,1305,528,0,0,0,0,0,0,0,0,0,417,360
2023,55391,PIH0000049,Sindi vabrik,,,,4995,529,508,406,263,365,271,141,631,479,437,523,442
2023,55423,PIH0000002,Toftan,,,,58051,0,0,0,0,0,5171,16430,15444,18036,2970,0,0
2023,55434,PIH0000169,Jõulumäe,,,,49791,12375,8520,5106,0,0,0,0,0,0,0,4782,19008
2023,55650,PIH0000057,Viisnurk Pärnu,,,,30492,13,1651,4114,3359,2561,2938,3652,2532,3797,2703,3138,34
2023,55690,PIH0000072,Kohila vineeritehas,,,,2925,0,1,0,100,150,1516,359,359,359,0,81,0
2023,55742,PIH0000193,Palalinna põhjakallas 1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,55742,PIH0000192,Palalinna lõunakallas 1,,,,500,500,0,0,0,0,0,0,0,0,0,0,0
2023,55742,PIH0000084,Palalinna lõunakallas,,,,1000,0,0,0,0,0,0,0,0,0,0,0,1000
2023,55742,PIH0000085,Palalinna põhjakallas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,55748,PIH0000222,Saluküla eesvool,,,,16560,0,0,0,0,0,7890,8670,0,0,0,0,0
2023,55813,PIH0000082,Energeetik-2 AÜ,,,,15749,497,290,514,768,1720,3813,3132,2103,1069,637,618,588
2023,55911,PIH0000232,Pannjärve,,,,950,0,0,0,0,0,0,0,0,0,0,400,550
2023,56012,PIH0000217,Reiu lumetootmine,,,,3657,280,0,0,0,0,0,0,0,0,0,0,3377
2023,56041,PIH0000040,Balti EJ,,,,123217034,13500000,12068000,13227000,4573000,25000,726840,30000,10227194,23295000,11386000,20864000,13295000
2023,56057,PIH0000180,Vääna Puukool,,,,18327,0,0,85,1856,2570,4024,6851,1949,742,250,0,0
2023,56063,PIH0000214,Varimar marjakasvatus,,,,3510,0,0,0,0,720,1040,980,640,130,0,0,0
2023,56128,PIH0000042,Nõmme spordikeskus,,,,2000,1000,0,0,0,0,0,0,0,0,0,0,1000
2023,56234,PIH0000071,Sillamäe merevee pumpla 1,,,,4204770,20348,9889,20984,17080,92172,314537,780770,684535,633892,545780,517890,566893
2023,56234,PIH0000052,Sõtke pumpla 1,,,,560220,77883,29393,37237,33488,54418,46834,54984,44520,37869,44570,49066,49958
2023,56337,PIH0000109,Jägala Golf,,,,6006,0,0,0,555,1322,2601,952,380,196,0,0,0
2023,56940,PIH0000226,Kohila lumetootmine,,,,700,700,0,0,0,0,0,0,0,0,0,0,0
2023,57313,PIH0000221,Mebelštšik,,,,7368,0,0,0,0,1440,1440,1900,1688,900,0,0,0
2023,57421,PIH0000198,Kontse kalakasvatus IV tiik,,,,18000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
2023,57421,PIH0000199,Kontse kalakasvatus I tiik,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,57537,PIH0000176,Võru Spordikeskus,,,,2400,1200,0,0,0,0,0,0,0,0,0,1200,0
2023,57841,PIH0000003,Mammaste kunstlumi,,,,2000,0,0,0,0,0,0,0,0,0,0,1000,1000
2023,57983,PIH0000038,Suur Primorskoje,,,,6400,0,0,0,0,1300,1400,1500,1500,700,0,0,0
2023,57998,PIH0000098,Laheotsa veehaare 3 Määra peakraavist,,,,1400,0,0,0,0,700,700,0,0,0,0,0,0
2023,57998,PIH0000097,Laheotsa veehaare 2 Määra peakraavist,,,,2000,0,0,0,0,1000,1000,0,0,0,0,0,0
2023,57998,PIH0000096,Laheotsa veehaare 1 Määra peakraavist,,,,1000,0,0,0,0,500,500,0,0,0,0,0,0
2023,57998,PIH0000021,Laheotsa veehaare Kloostri jõest,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,58111,PIH0000182,Marana taimla,,,,6694,0,0,0,572,1156,1508,1386,1136,544,392,0,0
2023,58168,PIH0000203,Merevee pumpla,,,,47160,0,0,0,2700,9900,9900,7560,9000,8100,0,0,0
2023,58265,PIH0000054,Iru EJ,,,,284432,2424,18506,17835,20960,52739,38210,40522,36604,19526,10360,6590,20156
2023,58361,PIH0000172,Mustajõgi,,,,42332160,3410520,2597148,3609048,4100823,3304685,3944521,4797026,4749221,1219840,2330346,4173497,4095485
2023,58404,,,,,Vorm ei ole asjakohane.,,,,,,,,,,,,,
2023,58537,PIH0000031,"Sarapiku kinnistu, Laadjala",,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,58613,PIH0000229,Jaanikese motokeskuse pinnaveehaare,,,,100,0,0,0,10,20,50,6,7,7,0,0,0
2023,58818,PIH0000081,Energeetik,,,,1508,0,0,0,6,189,686,145,264,218,0,0,0
2023,59050,PIH0000134,Taltjärv,,,,5000,1500,500,0,0,0,0,0,0,0,0,1000,2000
2023,59441,PIH0000015,Mustajõgi (EEJ kalda pumbajaam nr 1 ja nr 2),,,,2706747,227538,185731,226461,106540,102794,254944,152184,231222,253867,309197,352258,304011
2023,59441,PIH0000030,EEJ juurdevoolukanal (EEJ kalda pumbajaam nr 1 ja nr 2),,,,160119262,13447226,11052575,13386293,6313958,6084818,15060159,9003676,13674157,15023198,18267402,20826245,17979555
2023,59441,PIH0000144,Eesti EJ juurdevoolukanal (Eesti EJ esimese astme pumbajaam),VHP0001263,EEJ Filterjaama plokk,,1099850,94063,93981,121437,76305,73030,72664,69640,80959,78027,120946,100532,118266
2023,59441,PIH0000145,Eesti EJ suletud tehnoloogiline kanal,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,59464,,,,,ei oleasjakohane,,,,,,,,,,,,,
2023,59578,,,,,ei ole pinnaveehaare,,,,,,,,,,,,,
2023,59636,,,,,Ei kasutata,,,,,,,,,,,,,
2023,59660,PIH0000181,Combimill Sakala,,,,8909,0,0,0,0,766,2476,2286,1957,1424,0,0,0
2023,59702,PIH0000053,Püssi tehas,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,59922,,,,,Ei ole asjakohane,,,,,,,,,,,,,
2023,60178,PIH0000213,MesiMagus marjakasvatus,,,,1570,0,0,0,0,300,510,540,150,70,0,0,0
2023,60232,,,,,Vorm ei ole asjakohane,,,,,,,,,,,,,
2023,60301,PIH0000153,Võhandu jõgi,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,60303,,,,,Vorm ei ole asjakohane,,,,,,,,,,,,,
2023,60312,PIH0000206,Sauna,,,,1200,200,0,0,0,0,0,0,0,0,0,1000,0
2023,60312,PIH0000231,Koolme,,,,1200,200,0,0,0,0,0,0,0,0,0,0,1000
2023,60319,,,,,Vorm ei ole asjakohane.,,,,,,,,,,,,,
2023,60335,PIH0000100,Holstre suusakeskus,,,,844,64,22,66,60,85,126,123,89,42,48,40,79
2023,60425,PIH0000167,Nüpli järv,,,,2500,600,0,0,0,0,0,0,0,0,0,800,1100
2023,60425,PIH0000087,Arula tehisjärv,,,,3250,850,0,0,0,0,0,0,0,0,0,1100,1300
2023,60426,PIH0000191,Lubja pinnaveehaare,,,,1600,400,0,0,0,0,0,0,0,0,0,300,900
2023,60613,PIH0000224,Ruupa Puukool,,,,4800,0,0,0,0,1300,1400,800,800,500,0,0,0
2023,60767,,,,,Vorm ei ole asjakohane,,,,,,,,,,,,,
2023,60849,PIH0000233,Pinnavee pumbajaam nr 1,,,,17001,0,0,0,1292,1748,2278,2534,2843,2963,3343,0,0
2023,60849,PIH0000234,Pinnavee pumbajaam nr 2,,,,41386,0,0,0,3848,4854,5925,6707,7418,7933,4701,0,0
2023,60858,PIH0000230,Tamme talu,,,,3905,0,0,0,227,521,698,889,879,654,37,0,0
2023,60925,PIH0000089,Viljandi Talvepark,,,,1170,500,100,0,0,0,0,0,0,0,0,450,120
2023,60995,PIH0000170,Kotka kalakasvatus,,,,132480,0,0,0,0,22320,21600,22320,22320,21600,22320,0,0
2023,61505,PIH0000125,Soodla veehoidla hüdrosõlm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61505,PIH0000126,Raudoja veehoidla hüdrosõlm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61505,PIH0000127,Aavoja veehoidla hüdrosõlm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61505,PIH0000128,Purdi profiil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61505,PIH0000121,Sae profiil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61505,PIH0000111,"Jägala jõgi, Kaunissaare veehoidla hüdrosõlm",,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61505,PIH0000129,Vaskjala veehoidla hüdrosõlm,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,61505,PIH0000123,Paunküla veehoidla vh veehaare,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
